Ranking,CompanyName,TaxPaid,Link,Industry,Type,TotalProfit,MarketCap,TotalRevenue,Full Earnings,Full Revenue
101,Công ty TNHH MTV Dầu khí Thành phố Hồ Chí Minh,1070,https://cafef.vn/du-lieu//otc/SAIGONPETRO-cong-ty-tnhh-mtv-dau-khi-thanh-pho-ho-chi-minh.chn,Xăng dầu,SOE,,,0,False,False
102,CTCP Chứng khoán SSI,"1063,30",https://cafef.vn/du-lieu//hose/SSI-ctcp-chung-khoan-ssi.chn,Chứng khoán,Private,2835023120,"46986,85",8529279576,True,True
103,CTCP Tập đoàn Hoa Sen,"1041,90",https://cafef.vn/du-lieu//hose/HSG-ctcp-tap-doan-hoa-sen.chn,Thép,Private,458466350,"9625,23",40279778659,True,True
104,CTCP Đầu tư và Kinh doanh nhà Khang Điền,"1036,48",https://cafef.vn/du-lieu//hose/KDH-ctcp-dau-tu-va-kinh-doanh-nha-khang-dien.chn,Bất động sản - Xây dựng,Private,809671290,"29575,92",3295129859,True,True
105,CTCP Đường Quảng Ngãi,986,https://cafef.vn/du-lieu//upcom/QNS-ctcp-duong-quang-ngai.chn,F&B,Private,2236529444,"16911,82",10061554214,True,True
106,Công ty TNHH Bảo hiểm Nhân thọ Dai-ichi Việt Nam,"950,30",https://cafef.vn/du-lieu//otc/DAIICHILIFE-cong-ty-tnhh-bao-hiem-nhan-tho-daiichi-viet-nam.chn,Bảo hiểm,Foreign,,,0,False,False
107,CTCP Chứng khoán VNDirect,922,https://cafef.vn/du-lieu//hose/VND-ctcp-chung-khoan-vndirect.chn,Chứng khoán,Private,1718425030,"23367,30",5324411264,True,True
108,Tổng Công ty Hàng hải Việt Nam - CTCP,"881,38",https://cafef.vn/du-lieu//upcom/MVN-tong-cong-ty-hang-hai-viet-nam-ctcp.chn,Logistics,SOE,1948790263,"81880,10",17135684754,True,True
109,Tổng Công ty Du lịch Sài Gòn - TNHH Một thành viên,"879,20",https://cafef.vn/du-lieu//otc/SAIGONTOURIST-tong-cong-ty-du-lich-sai-gon-tnhh-mot-thanh-vien.chn,Du lịch,SOE,1073259464,,5151411045,False,False
110,CTCP Gemadept,879,https://cafef.vn/du-lieu//hose/GMD-ctcp-gemadept.chn,Logistics,Private,1275807633,"23446,73",5133914168,True,True
111,Tổng công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,"868,80",https://cafef.vn/du-lieu//upcom/PRT-tong-cong-ty-san-xuat-xuat-nhap-khau-binh-duong-ctcp.chn,"Bất động sản, thương mại",SOE,226509679,2820,1318816864,True,True
112,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,839,https://cafef.vn/du-lieu//hose/PSH-ctcp-thuong-mai-dau-tu-dau-khi-nam-song-hau.chn,Xăng dầu,Private,-770357422,"223,32",704425452,True,True
113,Công ty TNHH Nestlé Việt Nam,828,https://cafef.vn/du-lieu//otc/NESTLE-cong-ty-tnhh-nestle-viet-nam.chn,F&B,Foreign,,,0,False,False
114,CTCP Hàng không VietJet,"798,50",https://cafef.vn/du-lieu//hose/VJC-ctcp-hang-khong-vietjet.chn,Hàng không,Private,1709113552,"48853,34",71976618920,True,True
115,Công Ty CP Đầu tư tập đoàn Tân Á Đại Thành,"797,30",https://cafef.vn/du-lieu//otc/TADT-cong-ty-cp-dau-tu-tap-doan-tan-a-dai-thanh.chn,"Hàng gia dụng, Bất động sản",Private,,,0,False,False
116,Công ty TNHH Hưng Nghiệp Formosa,776,,0,Foreign,False,False
117,Công ty TNHH Hyosung Đồng Nai,776,https://cafef.vn/du-lieu//otc/HYOSUNGDN-cong-ty-tnhh-hyosung-dong-nai.chn,0,Foreign,,,0,False,False
118,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,"765,70",https://cafef.vn/du-lieu//hose/EIB-ngan-hang-tmcp-xuat-nhap-khau-viet-nam.chn,Ngân hàng,Private,,"36788,73",0,False,False
119,Tổng Công ty Đường sắt Việt Nam,"752,30",https://cafef.vn/du-lieu//otc/VNRAILWAYS-tong-cong-ty-duong-sat-viet-nam.chn,Vận tải,SOE,False,False
120,CTCP Tập đoàn Đầu tư Địa ốc No Va,"738,80",https://cafef.vn/du-lieu//hose/NVL-ctcp-tap-doan-dau-tu-dia-oc-no-va.chn,Bất động sản - Xây dựng,Private,1187052975,"23888,78",9041607472,True,True
121,CTCP Tập đoàn Hóa chất Đức Giang,"728,60",https://cafef.vn/du-lieu//hose/DGC-ctcp-tap-doan-hoa-chat-duc-giang.chn,Hóa chất,Private,3107212785,"35661,19",10296575481,True,True
122,Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam,"722,70",https://cafef.vn/du-lieu//hose/VCG-tong-ctcp-xuat-nhap-khau-va-xay-dung-viet-nam.chn,Xây dựng - Bất động sản,Private,628902806,"12899,69",12804804439,True,True
123,Công ty TNHH LG Display Việt Nam Hải Phòng,722,https://cafef.vn/du-lieu//otc/LGDVHP-cong-ty-tnhh-lg-display-viet-nam-hai-phong.chn,Điện tử,Foreign,,,0,False,False
124,CTCP Tập đoàn Gelex,"700,60",https://cafef.vn/du-lieu//hose/GEX-ctcp-tap-doan-gelex.chn,"Thiết bị điện, Bất động sản",Private,1749334063,"25009,41",35406142984,True,True
125,Ngân hàng TMCP Nam Á,693,https://cafef.vn/du-lieu//hose/NAB-ngan-hang-tmcp-nam-a.chn,Ngân hàng,Private,,22814,0,False,False
126,Công ty TNHH Bảo hiểm Nhân thọ Prudential Việt Nam,"688,50",https://cafef.vn/du-lieu//otc/PRUDENTIAL-cong-ty-tnhh-bao-hiem-nhan-tho-prudential-viet-nam.chn,Bảo hiểm,Foreign,,,0,False,False
127,Công ty TNHH Chứng khoán Mirae Asset (Việt Nam),"672,40",,Chứng khoán,Foreign,False,False
128,Tổng Công ty Sông Đà - Công ty cổ phần,"672,10",https://cafef.vn/du-lieu//upcom/SJG-tong-cong-ty-song-da-cong-ty-co-phan.chn,Xây dựng,SOE,805680704,"8451,30",5534899642,True,True
129,Công ty TNHH Bảo hiểm Nhân thọ AIA Việt Nam,"654,90",https://cafef.vn/du-lieu//otc/AIAL-cong-ty-tnhh-bao-hiem-nhan-tho-aia-viet-nam.chn,Bảo hiểm,Foreign,,,0,False,False
130,Tổng Công ty Thép Việt Nam - CTCP,"642,70",https://cafef.vn/du-lieu//upcom/TVN-tong-cong-ty-thep-viet-nam-ctcp.chn,Thép,SOE,281391220,"4881,60",39014921936,True,True
131,Công ty TNHH Piaggio Việt Nam,640,https://cafef.vn/du-lieu//otc/PIAGGIO-cong-ty-tnhh-piaggio-viet-nam.chn,Ô tô,Foreign,,,0,False,False
132,CTCP Bia Sài Gòn - Vĩnh Long,"611,60",https://cafef.vn/du-lieu//otc/BSGVL-ctcp-bia-sai-gon-vinh-long.chn,F&B/Bia rượu,Private,,,0,False,False
133,Tổng Công ty Cổ phần phát triển khu Công nghiệp,"608,20",https://cafef.vn/du-lieu//upcom/SNZ-tong-cong-ty-co-phan-phat-trien-khu-cong-nghiep.chn,Bất động sản,SOE,1039339230,"12424,23",6199498811,True,True
134,CTCP Tập đoàn PC1,"607,60",https://cafef.vn/du-lieu//hose/PC1-ctcp-tap-doan-pc1.chn,Điện năng,Private,363589517,"7957,54",10027765814,True,True
135,CTCP Đầu tư và Phát triển Bất động sản An Gia,"605,60",https://cafef.vn/du-lieu//hose/AGG-ctcp-dau-tu-va-phat-trien-bat-dong-san-an-gia.chn,Bất động sản - Xây dựng,Private,107478133,"2567,94",792383106,True,True
136,Công ty cổ phần Stavian Hóa chất,"600,90",https://cafef.vn/du-lieu//otc/STAVIANCHEM-cong-ty-co-phan-stavian-hoa-chat.chn,"Nhựa, Hóa chất",Private,,,0,False,False
137,CTCP Chứng khoán Tp.HCM,"568,80",https://cafef.vn/du-lieu//hose/HCM-ctcp-chung-khoan-tphcm.chn,Chứng khoán,Private,1039655044,"18935,24",4276240392,True,True
138,CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát,"556,70",https://cafef.vn/du-lieu//hose/VPG-ctcp-dau-tu-thuong-mai-xuat-nhap-khau-viet-phat.chn,Than,Private,119303840,"1052,15",17637444688,True,True
139,CTCP Bia và nước giải khát Hạ Long,"549,60",https://cafef.vn/du-lieu//upcom/HLB-ctcp-bia-va-nuoc-giai-khat-ha-long.chn,F&B/Bia rượu,Private,,"1081,50",0,False,False
140,Công ty TNHH Nhà nước MTV Yến sào Khánh Hòa,"540,75",https://cafef.vn/du-lieu//otc/YSKH-cong-ty-tnhh-nha-nuoc-mtv-yen-sao-khanh-hoa.chn,F&B,SOE,,,0,False,False
141,CTCP Bia Sài Gòn - Bến Tre,"539,90",https://cafef.vn/du-lieu//otc/BSGBT-ctcp-bia-sai-gon-ben-tre.chn,F&B/Bia rượu,Private,,,0,False,False
142,CTCP Tập đoàn C.E.O,"534,56",https://cafef.vn/du-lieu//hastc/CEO-ctcp-tap-doan-ceo.chn,Bất động sản - Xây dựng,Private,190983356,"6971,24",1344706054,True,True
143,CTCP Đầu tư Nam Long,"531,20",https://cafef.vn/du-lieu//hose/NLG-ctcp-dau-tu-nam-long.chn,Bất động sản - Xây dựng,Private,,,0,False,False
144,Công ty Liên doanh thuốc lá BAT - Vinataba,523,https://cafef.vn/du-lieu//otc/BATVINATABA-cong-ty-lien-doanh-thuoc-la-bat-vinataba.chn,Thuốc lá,Foreign,,,0,False,False
145,Tổng Công ty Đầu tư Phát triển nhà và Đô thị-Công ty TNHH,"512,90",https://cafef.vn/du-lieu//otc/HUDX-tong-cong-ty-dau-tu-phat-trien-nha-va-do-thicong-ty-tnhh.chn,Bất động sản,SOE,,,0,False,False
146,Tổng CTCP Dịch vụ Tổng hợp Dầu khí,"507,60",https://cafef.vn/du-lieu//hose/PET-tong-ctcp-dich-vu-tong-hop-dau-khi.chn,Phân phối - Bán lẻ,Private,170315983,"2449,27",19584901776,True,True
147,CTCP Bóng đèn Phích nước Rạng Đông,"503,20",https://cafef.vn/du-lieu//hose/RAL-ctcp-bong-den-phich-nuoc-rang-dong.chn,Hàng gia dụng,Private,591290630,"2359,45",8413912097,True,True
148,Công ty Cổ phần Nhựa Bình Minh ,"500,30",https://cafef.vn/du-lieu//hose/BMP-cong-ty-co-phan-nhua-binh-minh.chn,Vật liệu xây dựng,Foreign,,,0,False,False
149,CTCP Thành Thành Công - Biên Hòa,"496,20",https://cafef.vn/du-lieu//hose/SBT-ctcp-thanh-thanh-cong-bien-hoa.chn,F&B,Private,825779563,"14091,63",31190353611,True,True
150,Công ty Ajinomoto Việt Nam,494,https://cafef.vn/du-lieu//otc/AJINOMOTO-cong-ty-ajinomoto-viet-nam.chn,F&B,Foreign,,,0,False,False
151,CTCP Tập đoàn Hà Đô,"473,90",https://cafef.vn/du-lieu//hose/HDG-ctcp-tap-doan-ha-do.chn,"Bất động sản, Power",Private,520507474,"8290,57",2561535403,True,True
152,Tập đoàn Dệt may Việt Nam,"471,30",https://cafef.vn/du-lieu//upcom/VGT-tap-doan-det-may-viet-nam.chn,Dệt may,SOE,684475618,5250,17831082882,True,True
153,CTCP Tập đoàn Kido,"469,70",https://cafef.vn/du-lieu//hose/KDC-ctcp-tap-doan-kido.chn,F&B,Private,-48774195,"16229,15",8899589311,True,True
154,CTCP Ống thép Việt Đức,"448,30",https://cafef.vn/du-lieu//hastc/VGS-ctcp-ong-thep-viet-duc.chn,Thép,Private,136766836,"1387,12",7359354990,True,True
155,Công ty Cổ phần Tập đoàn Công nghệ CMC,443,https://cafef.vn/du-lieu//hose/CMG-cong-ty-co-phan-tap-doan-cong-nghe-cmc.chn,Công nghệ - Viễn thông,Private,268554243,"7606,83",7508833947,True,True
156,Công ty TNHH Samsung Electro- Mechanics Việt Nam,"442,50",https://cafef.vn/du-lieu//otc/SEMV-cong-ty-tnhh-samsung-electromechanics-viet-nam.chn,Điện tử,Foreign,,,0,False,False
157,CTCP Thương mại Dịch vụ Cổng Vàng,"439,30",https://cafef.vn/du-lieu//otc/GOLDENGATE-ctcp-thuong-mai-dich-vu-cong-vang.chn,F&B,Private,,,0,False,False
158,Tổng CTCP Bảo hiểm Bưu điện,"436,60",https://cafef.vn/du-lieu//hastc/PTI-tong-ctcp-bao-hiem-buu-dien.chn,Bảo hiểm,Private,,"2580,67",0,False,False
159,Công ty TNHH MTV Phát triển Công nghiệp Tân Thuận,"435,80",https://cafef.vn/du-lieu//otc/TTIPC-cong-ty-tnhh-mtv-phat-trien-cong-nghiep-tan-thuan.chn,Bất động sản,SOE,,,0,False,False
160,Tổng Công ty lưu ký và bù trừ Chứng khoán Việt Nam,"426,30",https://cafef.vn/du-lieu//otc/VSDC-tong-cong-ty-luu-ky-va-bu-tru-chung-khoan-viet-nam.chn,Tài chính,SOE,,,0,False,False
161,CTCP Chứng khoán VietCap,"419,20",https://cafef.vn/du-lieu//hose/VCI-ctcp-chung-khoan-vietcap.chn,Chứng khoán,Private,910692113,"27072,35",3695525336,True,True
162,Công ty cổ phần TKG TaeKwang Vina,417,https://cafef.vn/du-lieu//otc/TKGVINA-cong-ty-co-phan-tkg-taekwang-vina.chn,Dệt may,Foreign,,,0,False,False
163,CTCP Chăn nuôi C.P Việt Nam,416,https://cafef.vn/du-lieu//otc/CPVN-ctcp-chan-nuoi-cp-viet-nam.chn,Nông nghiệp,Foreign,,,0,False,False
164,CTCP Tập đoàn An Phát Holdings,415,https://cafef.vn/du-lieu//hose/APH-ctcp-tap-doan-an-phat-holdings.chn,Nguyên vật liệu,Private,116372777,"1575,49",14199068821,True,True
165,CTCP Tập đoàn Bamboo Capital,"414,20",https://cafef.vn/du-lieu//hose/BCG-ctcp-tap-doan-bamboo-capital.chn,"Điện năng, Bất động sản",Private,403535776,"2895,89",4733156444,True,True
166,CTCP Bia Sài Gòn - Kiên Giang,"400,10",https://cafef.vn/du-lieu//otc/BSGKG-ctcp-bia-sai-gon-kien-giang.chn,F&B/Bia rượu,Private,,,0,False,False
167,CTCP Vĩnh Hoàn,"397,70",https://cafef.vn/du-lieu//hose/VHC-ctcp-vinh-hoan.chn,F&B,Private,1253036198,"12187,81",12383063413,True,True
168,Công ty Cổ phần Nguyên liệu Á Châu AIG,"385,70",https://cafef.vn/du-lieu//otc/AIG-cong-ty-co-phan-nguyen-lieu-a-chau-aig.chn,F&B,Private,708418934,"7745,30",12425473708,True,True
169,Công ty cổ phần Phát triển Bất động sản Phát Đạt,"384,20",https://cafef.vn/du-lieu//hose/PDR-cong-ty-co-phan-phat-trien-bat-dong-san-phat-dat.chn,Bất động sản - Xây dựng,Private,520761690,"15105,46",2292832702,True,True
170,Ngân hàng TMCP An Bình,"367,30",https://cafef.vn/du-lieu//upcom/ABB-ngan-hang-tmcp-an-binh.chn,Ngân hàng,Private,,"7866,28",0,False,False
171,Tổng Công ty Đầu tư và phát triển Nhà Hà Nội,"352,75",https://cafef.vn/du-lieu//otc/HANDICO-tong-cong-ty-dau-tu-va-phat-trien-nha-ha-noi.chn,Bất động sản,SOE,,,0,False,False
172,Ngân hàng TNHH MTV Woori Việt Nam,"352,70",https://cafef.vn/du-lieu//otc/WOORIBANK-ngan-hang-tnhh-mtv-woori-viet-nam.chn,Ngân hàng,Foreign,,,0,False,False
173,Công ty Cổ phần Dược Hậu Giang,"349,80",https://cafef.vn/du-lieu//hose/DHG-cong-ty-co-phan-duoc-hau-giang.chn,Y tế,Foreign,822931225,"14042,13",5647936253,True,True
174,CTCP Sữa Quốc tế LOF,"346,90",https://cafef.vn/du-lieu//upcom/IDP-ctcp-sua-quoc-te-lof.chn,F&B,Private,758923618,"13596,98",8039546309,True,True
175,CTCP Đầu tư và Xây dựng số 18,"345,50",https://cafef.vn/du-lieu//hastc/L18-ctcp-dau-tu-va-xay-dung-so-18.chn,Bất động sản - Xây dựng,Private,207101896,"1307,40",4659712532,True,True
176,CTCP Bia - Nước giải khát Sài Gòn - Tây Đô,"342,66",https://cafef.vn/du-lieu//upcom/STD-ctcp-bia-nuoc-giai-khat-sai-gon-tay-do.chn,F&B/Bia rượu,Private,4122446,,323968946,True,True
177,CTCP Bia Sài Gòn - Phú Thọ,"341,50",https://cafef.vn/du-lieu//upcom/BSP-ctcp-bia-sai-gon-phu-tho.chn,F&B/Bia rượu,Private,5533762,125,394164626,True,True
178,Công ty TNHH MTV Nhà xuất bản Giáo dục Việt Nam,339,https://cafef.vn/du-lieu//otc/NXBGD-cong-ty-tnhh-mtv-nha-xuat-ban-giao-duc-viet-nam.chn,Xuất bản,SOE,,,0,False,False
179,CTCP Tập đoàn Đất Xanh,333,https://cafef.vn/du-lieu//hose/DXG-ctcp-tap-doan-dat-xanh.chn,Bất động sản - Xây dựng,Private,269636927,"14369,02",4597064189,True,True
180,Ngân hàng TMCP Bắc Á,"331,20",https://cafef.vn/du-lieu//hastc/BAB-ngan-hang-tmcp-bac-a.chn,Ngân hàng,Private,,"10538,24",0,False,False
181,CTCP Tập đoàn Thiên Long,"326,90",https://cafef.vn/du-lieu//hose/TLG-ctcp-tap-doan-thien-long.chn,Hàng tiêu dùng,Private,,,0,False,False
182,CTCP Đầu tư Phát triển máy Việt Nam,"325,40",https://cafef.vn/du-lieu//upcom/VVS-ctcp-dau-tu-phat-trien-may-viet-nam.chn,Ô tô,Private,87172102,"452,03",4225665380,True,True
183,CTCP Gỗ An Cường,"324,80",https://cafef.vn/du-lieu//hose/ACG-ctcp-go-an-cuong.chn,Vật liệu xây dựng,Private,423704515,5549,4130288076,True,True
184,Công ty TNHH MTV Nước sạch Hà Nội,"323,66",https://cafef.vn/du-lieu//otc/HAWACO-cong-ty-tnhh-mtv-nuoc-sach-ha-noi.chn,Cấp thoát nước,SOE,,,0,False,False
185,Công ty TNHH Bảo hiểm nhân thọ Chubb Việt Nam,"316,77",https://cafef.vn/du-lieu//otc/CHUBB-cong-ty-tnhh-bao-hiem-nhan-tho-chubb-viet-nam.chn,Bảo hiểm,Foreign,,,0,False,False
186,Công ty TNHH bảo hiểm Hanwha Life Việt Nam,"314,30",https://cafef.vn/du-lieu//otc/HANWHALIFE-cong-ty-tnhh-bao-hiem-hanwha-life-viet-nam.chn,Bảo hiểm,Foreign,,,0,False,False
187,Công ty TNHH MTV Xổ sổ kiến thiết Khánh Hoà,"311,20",https://cafef.vn/du-lieu//otc/XSKH-cong-ty-tnhh-mtv-xo-so-kien-thiet-khanh-hoa.chn,Xổ số,SOE,,,0,False,False
188,CTCP Đầu tư Sài Gòn VRG,"307,70",https://cafef.vn/du-lieu//hose/SIP-ctcp-dau-tu-sai-gon-vrg.chn,Bất động sản - Xây dựng,Private,1163239884,"14737,34",7807769384,True,True
189,Tổng Công ty Phát triển đô thị Kinh Bắc - CTCP,"306,50",https://cafef.vn/du-lieu//hose/KBC-tong-cong-ty-phat-trien-do-thi-kinh-bac-ctcp.chn,Bất động sản - Xây dựng,Private,422107588,"19804,20",2775753386,True,True
190,Công ty cổ phần tập đoàn Long Thuận,306,https://cafef.vn/du-lieu//otc/LONGTHUAN-cong-ty-co-phan-tap-doan-long-thuan.chn,Than,Private,,,0,False,False
191,Tổng CTCP Bảo hiểm Petrolimex,"304,60",https://cafef.vn/du-lieu//hose/PGI-tong-ctcp-bao-hiem-petrolimex.chn,Bảo hiểm,Private,,,0,False,False
192,Tổng Công ty Máy động lực và máy nông nghiệp Việt Nam - CTCP,"303,10",https://cafef.vn/du-lieu//upcom/VEA-tong-cong-ty-may-dong-luc-va-may-nong-nghiep-viet-nam-ctcp.chn,Ô tô,SOE,7196142235,"51557,44",4275042006,True,True
193,CTCP – Tổng Công ty Nước – Môi trường Bình Dương,"302,50",https://cafef.vn/du-lieu//hose/BWE-ctcp-tong-cong-ty-nuoc-moi-truong-binh-duong.chn,Cấp thoát nước,Private,608269737,"11304,33",4091208039,True,True
194,CTCP Phát triển Sunshine Homes,302,https://cafef.vn/du-lieu//upcom/SSH-ctcp-phat-trien-sunshine-homes.chn,Bất động sản - Xây dựng,Private,709720251,"32962,50",2896232466,True,True
195,CTCP đầu tư hạ tầng kỹ thuật TP. Hồ Chí Minh,"296,40",https://cafef.vn/du-lieu//hose/CII-ctcp-dau-tu-ha-tang-ky-thuat-tp-ho-chi-minh.chn,Hạ tầng,Private,286250781,"7260,69",3191727173,True,True
196,CTCP Tasco,"296,30",https://cafef.vn/du-lieu//hastc/HUT-ctcp-tasco.chn,"Ô tô, Hạ tầng",Private,138849347,"11781,16",32347249310,True,True
197,CTCP Quốc tế Sơn Hà,"292,40",https://cafef.vn/du-lieu//hose/SHI-ctcp-quoc-te-son-ha.chn,Hàng gia dụng,Private,91467726,,11473410243,True,True
198,CTCP Đầu tư Thương mại SMC,292,https://cafef.vn/du-lieu//hose/SMC-ctcp-dau-tu-thuong-mai-smc.chn,Thép,Private,-293570994,"758,15",8924116899,True,True
199,Công ty cổ phần chứng khoán HD,"289,77",https://cafef.vn/du-lieu//otc/HDBS-cong-ty-co-phan-chung-khoan-hd.chn,Chứng khoán,Private,,,0,False,False
200,Công ty cổ phần Chứng khoán KIS Việt Nam,"281,10",,Chứng khoán,Foreign,False,False
